t,truth,observed,missing
0,-0.058952547945202105,0.16582921920573676,0
1,0.2195918680989889,0.24706016752617876,0
2,0.47950086666968184,0.4786600658191921,0
3,0.7034631899013746,0.897978000942836,0
4,0.8785386298469737,0.5605899772337231,0
5,0.997614166894345,0.6546127711659109,0
6,1.0600863789562467,0.8223585965758686,0
7,1.0716827191149874,1.0188192425781033,0
8,1.0434502515658448,1.1152885218015811,0
9,0.9900524904672517,0.926276360172017,0
10,0.9276079766350306,1.0427232826867743,0
11,0.8713656018248888,0.9967304929280058,0
12,0.8335331694536663,0.8545105193228459,0
13,0.8215543728796246,0.9165085490146581,0
14,0.8370681659989085,0.8726533823300574,0
15,0.8756916732154311,0.7708988965295753,0
16,0.9276558851097438,0.7435948559122821,0
17,0.979207536769566,0.8383587611198082,0
18,1.0145864254142212,1.0902599556751253,0
19,1.0183090687221632,0.9039644062276115,0
20,0.9774476283947138,0.9766979052839808,0
21,0.8835931045022902,0.7863001320127272,0
22,0.7342339436755053,0.8125595499127731,0
23,0.5333597159318972,0.6120120792446472,0
24,0.2912038049522759,0.33709049365428195,0
25,0.02315504630231431,0.10597240565746248,0
26,-0.2520197226291876,-0.053578795197977536,0
27,-0.5144072949341771,-0.4357921281456195,0
28,-0.7453376976917949,-0.7299634117828909,0
29,-0.9296141668943458,-0.7362727647450668,0
30,-1.0572873111114247,-1.1058135991660116,0
31,-1.1247386140821838,-0.9121110461746046,0
32,-1.13493139560634,-1.1318222338007151,0
33,-1.0967994048685545,-0.9233429918421202,0
34,-1.0238592336421055,-1.1847815527105365,0
35,-0.9322370482074693,-0.896946666781057,0
36,-0.8383786692878581,-0.8583655853989463,1
37,-0.7567541826086149,-0.7979960159859912,1
38,-0.6978683562699185,-0.5531720040967939,1
39,-0.6668461733812396,-1.049058973373088,1
40,-0.6627844387271636,-0.640331524967452,1
41,-0.6789562797624908,-0.6288420236129936,1
42,-0.7038395110129184,-0.8095320291253484,1
43,-0.7228279246816677,-0.5799822207694095,1
44,-0.7203917334275154,-0.7955961927073203,1
45,-0.6823921723471117,-0.698690283943218,1
46,-0.598233943675505,-0.44591528655300083,1
47,-0.4625606480870753,-0.3995202389818918,1
48,-0.2762596999194733,-0.4127520051411525,1
49,-0.04663619034281044,-0.031107233715100678,1
50,0.21327280822788414,0.2722392637617188,1
51,0.48615603792710227,0.4849835415454868,1
52,0.7524662513092154,0.7064026559816075,0
53,0.9927686670601542,1.0353809477343963,0
54,1.1900875013824344,1.0146277839693538,0
55,1.3319384238111753,1.2472006158852305,0
56,1.411776895440532,1.4330025247791889,0
57,1.4296708512511356,1.3433309916350482,0
58,1.3921104906491804,1.379968980409042,0
59,1.3109839626087727,1.5878696558268457,0
60,1.2018598133283542,1.182263080100806,0
61,1.0818100775758124,1.045336904507161,0
62,0.9670692884250971,1.072568807296044,0
63,0.8708461733812388,0.6784415361000469,0
64,0.8015835065719864,0.7587419211565727,0
65,0.7619003847952942,0.8250328951141397,0
66,0.7483583669724233,0.7954022617231332,0
67,0.7520810102803651,0.6702416901101752,0
68,0.7601404764204401,0.8835667377666159,0
69,0.757520725964533,0.7517763893903512,0
70,0.7293884438413129,0.8434131267844434,0
71,0.6633608383580851,0.7455914541175331,0
72,0.5514595096484636,0.573300260468645,0
73,0.39148169017700396,0.36591569918162303,0
74,0.18759863815469846,0.39002493218955747,0
75,-0.04990478092002759,-0.17095468053023918,0
76,-0.30571933690791075,-0.4353166207494394,0
77,-0.5612875230196585,-0.3937120711277623,0
78,-0.7970316064152352,-0.6426095585647654,0
79,-0.9947374916559958,-0.9929942045389402,0
80,-1.1397768954405318,-1.1268826273553016,0
81,-1.2228717834063132,-1.4372572662044376,0
82,-1.2411663856163766,-1.1955533108484675,0
83,-1.1984651066492673,-1.186839401309517,0
84,-1.1046067277296565,-1.1584459704441414,0
85,-0.9740613345828871,-0.8934426722562016,0
86,-0.8239407348076778,-0.8707712742509038,0
87,-0.671691673215433,-0.5374733060114784,0
88,-0.5327833163009781,-0.39390791692150007,0
89,-0.41870057506630404,-0.5041569125567399,0
90,-0.3355128671382312,-0.37243009191726895,0
91,-0.2832095638977847,-0.11140625093919534,0
92,-0.255889219413368,-0.3023350134594457,0
93,-0.2427738115632298,-0.296800273776729,0
94,-0.22990729980081842,-0.009258177660941419,0
95,-0.20230494339088884,-0.08708795723533175,0
96,-0.14625857749328497,0.09908735213223743,0
97,-0.05148169017700388,-0.17358501424260203,0
98,0.08720042969012312,0.15940879419388165,0
99,0.2688488859528303,0.19184438261091796,0
100,0.4862381928674162,0.24180561796626462,0
101,0.7265406086183539,0.6036766844565662,0
102,0.9727803494081604,0.8336619063672642,0
103,1.2058660452734131,1.2000686301327799,0
104,1.4069313956063407,1.2635955586780878,1
105,1.5596719736773226,1.6910363015525123,1
106,1.6523661953453672,1.6793415223991754,1
107,1.6793106064834586,1.7592796142100458,1
108,1.6414781741122368,1.6188991779450659,1
109,1.5463125915899627,1.4548190774512653,1
110,1.4066876492089786,1.421075417636196,1
111,1.239172817255926,1.1569338306903139,1
112,1.0618392112681754,1.205221960763093,1
113,0.8919015072214831,0.35120015107203817,1
114,0.7435128671382323,0.5312228925768401,1
115,0.6260086317426068,0.8260341787920339,1
116,0.5428333244461686,0.8434154035658112,1
117,0.4912926675227355,0.48196584274043075,1
118,0.4631603853995141,0.6266118517739935,1
119,0.4460536863838131,0.5132921065442511,1
120,0.4253871311107073,0.6321775961351542,0
121,0.38663619034280916,0.49045515164322806,0
122,0.31759976058088646,0.3260771555774154,0
123,0.21035092377615988,0.131200834251393,0
124,0.06260730696677608,-0.2809134923663653,0
125,-0.12166916223577323,-0.13572713689182564,0
126,-0.33252909240108974,-0.338707044454242,0
127,-0.5551191308721135,-0.5983577644302873,0
128,-0.7714502515658443,-0.7187312439639048,0
129,-0.9626160787101239,-1.1298885267011411,0
130,-1.1111652631901883,-1.0802776576082236,0
131,-1.203310606483459,-1.098550676284238,0
132,-1.230679106267415,-1.398516593608567,0
133,-1.1913684865571592,-1.066461675412736,0
134,-1.0901687932494755,-1.231639236050713,0
135,-0.9379197316572307,-1.0811604033309663,0
136,-0.7500904682752474,-0.6805163278476312,0
137,-0.5447729536040604,-0.4996959338111035,0
138,-0.3403583669724244,-0.2582620215009316,0
139,-0.1532084414715974,-0.2544745812579373,0
140,0.004366485282821075,-0.035623543258338115,0
141,0.12555283231145647,0.2991049814323995,0
142,0.20971106098306885,0.32233761338207423,0
